"label","mean_mf_min"
"chr11",27.3098064599748
"chr16",26.6580558390642
"chr9",23.6942670444493
"chr14",22.617979053827
"chr2",20.7179748817099
"chr4",19.9167260844052
"chr12",19.6784658439948
"chr15",19.5845364880428
"chr17",18.921354430178
"chr10",18.8239631731909
"chr8",18.1951979291821
"chr5",17.7493154207302
"chr6",16.2001483731573
"chr3",15.6429513549765
"chr1.2",13.3024588576129
"chr7",12.2036084103398
"chr18",11.9679803819538
"chr1",11.7364708263991
"chr13",11.7187545002561
"chr19",9.34722814441887
